                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,,,,,
94,1.4851,1.2274,1.069,0.51903,0.41078,0.429,0.25691,1.3889,1.1302,1.0506,0.008326,0.008326,0.008326,,,,,,
95,1.4872,1.2234,1.0687,0.51313,0.41339,0.42916,0.25733,1.388,1.1284,1.0501,0.008308,0.008308,0.008308,,,,,,
96,1.4867,1.2217,1.0649,0.5112,0.41346,0.42999,0.25803,1.3869,1.1275,1.0494,0.00829,0.00829,0.00829,,,,,,
97,1.4787,1.2181,1.0651,0.51791,0.41154,0.43015,0.25816,1.3876,1.1267,1.0495,0.008272,0.008272,0.008272,,,,,,
98,1.4863,1.2258,1.0665,0.51481,0.4142,0.43146,0.25916,1.3868,1.1254,1.0494,0.008254,0.008254,0.008254,,,,,,
99,1.4828,1.2249,1.0675,0.52168,0.41466,0.43301,0.25955,1.3855,1.1247,1.0491,0.008236,0.008236,0.008236,,,,,,
100,1.4759,1.2187,1.0665,0.51611,0.41747,0.43191,0.25958,1.3856,1.1243,1.049,0.008218,0.008218,0.008218,,,,,,
101,1.4819,1.2216,1.066,0.52046,0.41762,0.43249,0.26049,1.385,1.1234,1.0486,0.0082,0.0082,0.0082,,,,,,
102,1.4741,1.2121,1.0626,0.53137,0.4115,0.43311,0.26021,1.3836,1.1219,1.0477,0.008182,0.008182,0.008182,,,,,,
103,1.4808,1.2221,1.0673,0.52417,0.41389,0.43363,0.26055,1.3828,1.1216,1.0474,0.008164,0.008164,0.008164,,,,,,
104,1.4807,1.218,1.063,0.52197,0.41501,0.43416,0.26082,1.3829,1.1206,1.0472,0.008146,0.008146,0.008146,,,,,,
105,1.4803,1.2138,1.0615,0.5228,0.41704,0.43539,0.26133,1.3838,1.1205,1.047,0.008128,0.008128,0.008128,,,,,,
106,1.4734,1.2119,1.0633,0.51948,0.41865,0.43585,0.26199,1.3823,1.1195,1.0465,0.00811,0.00811,0.00811,,,,,,
107,1.4779,1.2104,1.0632,0.52228,0.41644,0.4357,0.26159,1.3825,1.1195,1.0465,0.008092,0.008092,0.008092,,,,,,
108,1.4739,1.2095,1.0611,0.52253,0.41795,0.43647,0.26257,1.3821,1.1173,1.0464,0.008074,0.008074,0.008074,,,,,,
109,1.4704,1.2111,1.0625,0.52677,0.41699,0.43667,0.26289,1.3822,1.1163,1.0462,0.008056,0.008056,0.008056,,,,,,
110,1.472,1.2073,1.0624,0.52765,0.41712,0.43735,0.26307,1.3811,1.1159,1.0458,0.008038,0.008038,0.008038,,,,,,
111,1.4729,1.2084,1.0622,0.52867,0.41863,0.43832,0.26317,1.3811,1.1153,1.0458,0.00802,0.00802,0.00802,,,,,,
112,1.4724,1.2103,1.0634,0.53067,0.41818,0.43882,0.26387,1.3815,1.1141,1.0459,0.008002,0.008002,0.008002,,,,,,
113,1.4764,1.2142,1.0629,0.52995,0.41696,0.43877,0.26389,1.3809,1.1142,1.0455,0.007984,0.007984,0.007984,,,,,,
114,1.4701,1.2041,1.0609,0.52974,0.41728,0.43891,0.26445,1.3802,1.1135,1.0454,0.007966,0.007966,0.007966,,,,,,
115,1.4747,1.206,1.0622,0.5291,0.41821,0.43961,0.26443,1.3797,1.1125,1.045,0.007948,0.007948,0.007948,,,,,,
116,1.469,1.1962,1.0579,0.53247,0.41667,0.4397,0.2647,1.3784,1.112,1.0446,0.00793,0.00793,0.00793,,,,,,
117,1.4685,1.1958,1.0613,0.53618,0.41523,0.4396,0.26478,1.3774,1.1113,1.0444,0.007912,0.007912,0.007912,,,,,,
118,1.4739,1.205,1.0625,0.52951,0.41988,0.44011,0.26484,1.3774,1.1101,1.0442,0.007894,0.007894,0.007894,,,,,,
119,1.4637,1.1924,1.0588,0.53212,0.41983,0.43974,0.26506,1.3771,1.1092,1.044,0.007876,0.007876,0.007876,,,,,,
120,1.4677,1.1991,1.0582,0.52776,0.42158,0.44057,0.26577,1.3767,1.1095,1.0437,0.007858,0.007858,0.007858,,,,,,
121,1.4621,1.1899,1.0567,0.52777,0.42309,0.44106,0.2657,1.3767,1.1084,1.0437,0.00784,0.00784,0.00784,,,,,,
122,1.465,1.1929,1.0587,0.52821,0.42131,0.44093,0.26569,1.3762,1.1083,1.0435,0.007822,0.007822,0.007822,,,,,,
123,1.4729,1.1966,1.06,0.52779,0.42099,0.44118,0.26616,1.3759,1.1078,1.0433,0.007804,0.007804,0.007804,,,,,,
124,1.4666,1.1913,1.0576,0.53406,0.41795,0.44128,0.26567,1.3753,1.1074,1.043,0.007786,0.007786,0.007786,,,,,,
125,1.4689,1.1975,1.0585,0.53661,0.41772,0.44196,0.26649,1.3749,1.1069,1.0429,0.007768,0.007768,0.007768,,,,,,
126,1.4622,1.1915,1.0569,0.5354,0.41741,0.4421,0.26664,1.3745,1.1055,1.0427,0.00775,0.00775,0.00775,,,,,,
127,1.463,1.1902,1.0577,0.53534,0.41744,0.4426,0.26661,1.3742,1.1054,1.0427,0.007732,0.007732,0.007732,,,,,,
128,1.4624,1.1944,1.0574,0.53569,0.41698,0.44312,0.26676,1.3744,1.1051,1.0427,0.007714,0.007714,0.007714,,,,,,
129,1.4661,1.1941,1.0551,0.53167,0.41935,0.44355,0.2668,1.3735,1.1043,1.0422,0.007696,0.007696,0.007696,,,,,,
130,1.4616,1.1881,1.055,0.53404,0.42077,0.44361,0.26685,1.3733,1.1037,1.042,0.007678,0.007678,0.007678,,,,,,
131,1.4624,1.1832,1.0566,0.53643,0.42037,0.44406,0.26752,1.3728,1.103,1.0419,0.00766,0.00766,0.00766,,,,,,
132,1.4593,1.1867,1.0579,0.53608,0.42025,0.44423,0.26764,1.3724,1.1025,1.0416,0.007642,0.007642,0.007642,,,,,,
133,1.4561,1.1849,1.0543,0.54052,0.41874,0.44459,0.26779,1.3725,1.1023,1.0415,0.007624,0.007624,0.007624,,,,,,
134,1.4621,1.1852,1.0579,0.53921,0.41931,0.44537,0.26799,1.372,1.1016,1.0414,0.007606,0.007606,0.007606,,,,,,
135,1.4586,1.1816,1.0569,0.53993,0.41995,0.44564,0.26792,1.3719,1.1009,1.0412,0.007588,0.007588,0.007588,,,,,,
136,1.4627,1.1858,1.0546,0.53907,0.42036,0.44525,0.26815,1.3718,1.1007,1.0411,0.00757,0.00757,0.00757,,,,,,
137,1.4641,1.1886,1.0588,0.53941,0.42046,0.4453,0.26814,1.3712,1.0998,1.0408,0.007552,0.007552,0.007552,,,,,,
138,1.4628,1.183,1.057,0.53824,0.42234,0.44549,0.268,1.3708,1.0995,1.0406,0.007534,0.007534,0.007534,,,,,,
139,1.4646,1.1829,1.0562,0.53717,0.42378,0.44551,0.26804,1.3704,1.0993,1.0404,0.007516,0.007516,0.007516,,,,,,
140,1.4584,1.1796,1.0543,0.53489,0.42529,0.44612,0.26832,1.37,1.0987,1.0403,0.007498,0.007498,0.007498,,,,,,
141,1.4596,1.1827,1.0545,0.53614,0.42433,0.44629,0.26852,1.37,1.0983,1.0402,0.00748,0.00748,0.00748,,,,,,
142,1.4574,1.172,1.053,0.53704,0.42521,0.44632,0.26878,1.3697,1.0979,1.0403,0.007462,0.007462,0.007462,,,,,,
143,1.4577,1.1751,1.0536,0.53783,0.42588,0.44654,0.26881,1.3696,1.0978,1.0402,0.007444,0.007444,0.007444,,,,,,
144,1.4533,1.1767,1.0543,0.53182,0.4289,0.44705,0.26911,1.3693,1.0971,1.04,0.007426,0.007426,0.007426,,,,,,
145,1.4576,1.1754,1.0546,0.53229,0.42856,0.447,0.26923,1.3688,1.097,1.0398,0.007408,0.007408,0.007408,,,,,,
146,1.4601,1.1797,1.0532,0.53093,0.43025,0.44722,0.2696,1.3688,1.0966,1.0396,0.00739,0.00739,0.00739,,,,,,
147,1.4535,1.1746,1.0534,0.53096,0.4301,0.44748,0.26978,1.3686,1.0957,1.0396,0.007372,0.007372,0.007372,,,,,,
148,1.4558,1.1732,1.0521,0.52992,0.4305,0.44749,0.26978,1.3684,1.0948,1.0393,0.007354,0.007354,0.007354,,,,,,
149,1.4548,1.1722,1.0537,0.53208,0.43115,0.44797,0.27009,1.3679,1.0948,1.0392,0.007336,0.007336,0.007336,,,,,,
150,1.4589,1.1733,1.053,0.53411,0.43052,0.44813,0.27007,1.3678,1.0946,1.0391,0.007318,0.007318,0.007318,,,,,,
151,1.4542,1.1774,1.0547,0.53347,0.43017,0.44854,0.27041,1.3677,1.0941,1.039,0.0073,0.0073,0.0073,,,,,,
152,1.454,1.1728,1.0538,0.53606,0.4291,0.44847,0.27042,1.3675,1.0935,1.0389,0.007282,0.007282,0.007282,,,,,,
153,1.4475,1.1681,1.0539,0.53545,0.42884,0.44876,0.27063,1.3674,1.0932,1.0388,0.007264,0.007264,0.007264,,,,,,
154,1.4527,1.1676,1.0515,0.53548,0.42873,0.44901,0.27079,1.3674,1.0928,1.0387,0.007246,0.007246,0.007246,,,,,,
155,1.45,1.1683,1.053,0.53816,0.42748,0.4494,0.27087,1.367,1.0924,1.0385,0.007228,0.007228,0.007228,,,,,,
156,1.4533,1.1728,1.0538,0.54079,0.42682,0.44935,0.27079,1.3669,1.0922,1.0384,0.00721,0.00721,0.00721,,,,,,
157,1.4494,1.1682,1.0529,0.54247,0.42559,0.44943,0.27093,1.3665,1.0919,1.0382,0.007192,0.007192,0.007192,,,,,,
158,1.4457,1.165,1.0501,0.54104,0.42676,0.44947,0.27091,1.366,1.0917,1.0379,0.007174,0.007174,0.007174,,,,,,
159,1.4491,1.1661,1.0514,0.53839,0.42784,0.44967,0.2711,1.3656,1.0913,1.0377,0.007156,0.007156,0.007156,,,,,,
160,1.4515,1.1643,1.0504,0.53965,0.42885,0.44996,0.27107,1.3653,1.091,1.0375,0.007138,0.007138,0.007138,,,,,,
161,1.4494,1.1654,1.0474,0.54326,0.4285,0.44988,0.27143,1.3651,1.0909,1.0374,0.00712,0.00712,0.00712,,,,,,
162,1.4503,1.1625,1.05,0.5471,0.42619,0.4505,0.27172,1.3651,1.0906,1.0372,0.007102,0.007102,0.007102,,,,,,
163,1.4509,1.1651,1.051,0.54569,0.42729,0.45055,0.27183,1.365,1.0902,1.0372,0.007084,0.007084,0.007084,,,,,,
164,1.4454,1.1623,1.0493,0.54881,0.42632,0.45065,0.27202,1.3647,1.0899,1.0371,0.007066,0.007066,0.007066,,,,,,
165,1.4436,1.1563,1.0494,0.54903,0.42674,0.45077,0.27223,1.3645,1.0898,1.037,0.007048,0.007048,0.007048,,,,,,
